holiday,temp,rain,snow,weather,date,Time,traffic_volume
No,288.28,0,0,Clouds,02-10-2012,09:00:00,5545
No,289.36,0,0,Clouds,02-10-2012,10:00:00,4516
No,289.58,0,0,Clouds,02-10-2012,11:00:00,4767
No,290.13,0,0,Clouds,02-10-2012,12:00:00,5026
No,291.14,0,0,Clouds,02-10-2012,13:00:00,4918
No,291.72,0,0,Clear,02-10-2012,14:00:00,5181
No,293.17,0,0,Clear,02-10-2012,15:00:00,5584
No,293.86,0,0,Clear,02-10-2012,16:00:00,6015
No,294.14,0,0,Clouds,02-10-2012,17:00:00,5791
No,293.1,0,0,Clouds,02-10-2012,18:00:00,4770
No,290.97,0,0,Clouds,02-10-2012,19:00:00,3539
No,289.38,0,0,Clear,02-10-2012,20:00:00,2784
No,288.61,0,0,Clear,02-10-2012,21:00:00,2361
No,287.16,0,0,Clear,02-10-2012,22:00:00,1529
No,285.45,0,0,Clear,02-10-2012,23:00:00,963
No,284.63,0,0,Clear,03-10-2012,00:00:00,506
No,283.47,0,0,Clear,03-10-2012,01:00:00,321
No,281.18,0,0,Clear,03-10-2012,02:00:00,273
No,281.09,0,0,Clear,03-10-2012,03:00:00,367
No,279.53,0,0,Clear,03-10-2012,04:00:00,814
No,278.62,0,0,Clear,03-10-2012,05:00:00,2718
No,278.23,0,0,Clear,03-10-2012,06:00:00,5673
No,278.12,0,0,Clear,03-10-2012,08:00:00,6511
No,,0,0,Clear,03-10-2012,09:00:00,5471
No,291.97,0,0,Clear,03-10-2012,12:00:00,5097
No,293.23,0,0,Clear,03-10-2012,13:00:00,4887
No,294.31,0,0,Clear,03-10-2012,14:00:00,5337
No,295.17,0,0,Clear,03-10-2012,15:00:00,5692
No,295.13,0,0,Clear,03-10-2012,16:00:00,6137
No,,0,0,Clouds,03-10-2012,18:00:00,4623
No,290.65,0,0,Clouds,03-10-2012,19:00:00,3591
No,288.19,0,0,Clouds,03-10-2012,20:00:00,2898
No,287.1,0,0,Clear,03-10-2012,21:00:00,2637
No,286.25,0,0,Clear,03-10-2012,22:00:00,1777
No,285.26,0,0,Clear,03-10-2012,23:00:00,1015
No,284.55,0,0,Clear,04-10-2012,00:00:00,598
No,283.47,0,0,Clear,04-10-2012,01:00:00,369
No,283.17,0,0,Clear,04-10-2012,02:00:00,312
No,282.04,0,0,Clear,04-10-2012,03:00:00,367
No,281.69,0,0,Clear,04-10-2012,04:00:00,835
No,281.32,0,0,Clear,04-10-2012,05:00:00,2726
No,280.74,0,0,Clear,04-10-2012,06:00:00,5689
No,280.57,0,0,Clear,04-10-2012,07:00:00,6990
No,,0,0,Clear,04-10-2012,08:00:00,5985
No,284.98,0,0,Clear,04-10-2012,09:00:00,5309
No,289.18,0,0,Clear,04-10-2012,10:00:00,4603
No,291.55,0,0,Clear,04-10-2012,11:00:00,4884
No,294.97,0,0,Clear,04-10-2012,12:00:00,5104
No,296.38,0,0,Clear,04-10-2012,13:00:00,5178
No,297.32,0,0,Clear,04-10-2012,14:00:00,5501
No,298.17,0,0,Clear,04-10-2012,15:00:00,5713
No,298.06,0,0,Clouds,04-10-2012,16:00:00,6292
No,297.67,0,0,Clouds,04-10-2012,17:00:00,6057
No,296.36,0,0,Clouds,04-10-2012,18:00:00,4907
No,293.85,0,0,Clouds,04-10-2012,19:00:00,3503
No,292.43,0,0,Clouds,04-10-2012,20:00:00,3037
No,291.77,0,0,Clouds,04-10-2012,21:00:00,2822
No,,0,0,Clouds,04-10-2012,22:00:00,1992
No,291.12,0,0,Clouds,04-10-2012,23:00:00,1166
No,290.63,0,0,Clouds,05-10-2012,00:00:00,627
No,290.46,0,0,Clouds,05-10-2012,01:00:00,388
No,289.26,0,0,Clear,05-10-2012,03:00:00,368
No,283.21,0,0,Clouds,05-10-2012,05:00:00,2489
No,282.24,0,0,Clouds,05-10-2012,06:00:00,5537
No,281.69,0,0,Clouds,05-10-2012,07:00:00,6628
No,280.57,0,0,Clouds,05-10-2012,08:00:00,5534
No,280.02,0,0,Clouds,05-10-2012,09:00:00,5403
No,280.11,0,0,Clouds,05-10-2012,10:00:00,4770
No,280,0,0,Clouds,05-10-2012,11:00:00,5217
No,280.53,0,0,Clouds,05-10-2012,12:00:00,5870
No,281.43,0,0,Clouds,05-10-2012,13:00:00,5967
No,281.78,0,0,Clouds,05-10-2012,14:00:00,6108
No,,0,0,Clouds,05-10-2012,15:00:00,6128
No,281.73,0,0,Clouds,05-10-2012,16:00:00,6069
No,281.42,0,0,Clouds,05-10-2012,17:00:00,6169
No,280.87,0,0,Clouds,05-10-2012,18:00:00,5384
No,280.15,0,0,Clouds,05-10-2012,19:00:00,4063
No,279.78,0,0,Clouds,05-10-2012,20:00:00,3364
No,279.65,0,0,Clouds,05-10-2012,21:00:00,2971
No,279.22,0,0,Clouds,05-10-2012,22:00:00,2450
No,279.06,0,0,Clouds,05-10-2012,23:00:00,1832
No,,0,0,Clouds,06-10-2012,00:00:00,1231
No,278.55,0,0,Clouds,06-10-2012,01:00:00,718
No,278.59,0,0,Clouds,06-10-2012,02:00:00,545
No,276.99,0,0,Clouds,06-10-2012,04:00:00,411
No,276.35,0,0,Clouds,06-10-2012,05:00:00,688
No,275.4,0,0,Clear,06-10-2012,06:00:00,1352
No,275.17,0,0,Clear,06-10-2012,07:00:00,2072
No,274.99,0,0,Clear,06-10-2012,08:00:00,3342
No,275.09,0,0,Clouds,06-10-2012,09:00:00,4258
No,276.88,0,0,Clouds,06-10-2012,10:00:00,4861
No,278.04,0,0,Clouds,06-10-2012,11:00:00,5191
No,279.08,0,0,Clouds,06-10-2012,12:00:00,5669
No,280.12,0,0,Clouds,06-10-2012,13:00:00,5074
No,280.25,0,0,Clouds,06-10-2012,14:00:00,5025
No,280,0,0,Clouds,06-10-2012,15:00:00,5153
No,,0,0,Clouds,06-10-2012,16:00:00,5024
No,278.91,0,0,Clouds,06-10-2012,17:00:00,4779
No,278.39,0,0,Clouds,06-10-2012,18:00:00,4362
No,278.16,0,0,Clouds,06-10-2012,19:00:00,3860
No,278.16,0,0,Clouds,06-10-2012,20:00:00,3160
No,277.93,0,0,Clouds,06-10-2012,21:00:00,2992
No,276.9,0,0,Clouds,06-10-2012,22:00:00,3202
No,276.34,0,0,Clouds,06-10-2012,23:00:00,1941
No,276.11,0,0,Clouds,07-10-2012,00:00:00,1233
No,275.73,0,0,Clouds,07-10-2012,03:00:00,323
No,275.65,0,0,Clouds,07-10-2012,04:00:00,312
No,275.51,0,0,Clouds,07-10-2012,05:00:00,627
No,275.05,0,0,Clouds,07-10-2012,06:00:00,1508
No,274.77,0,0,Clouds,07-10-2012,07:00:00,1539
No,274.77,0,0,Clouds,07-10-2012,08:00:00,2232
No,275.55,0,0,Clouds,07-10-2012,09:00:00,4568
No,276.24,0,0,Clouds,07-10-2012,10:00:00,4624
No,277.01,0,0,Clouds,07-10-2012,11:00:00,4529
No,277.43,0,0,Clouds,07-10-2012,12:00:00,5139
No,278.45,0,0,Clouds,07-10-2012,13:00:00,6640
No,279.27,0,0,Clouds,07-10-2012,14:00:00,6589
No,,0,0,Clouds,07-10-2012,15:00:00,4429
No,279.44,0,0,Clouds,07-10-2012,16:00:00,4329
No,279.32,0,0,Clouds,07-10-2012,17:00:00,3833
No,279.27,0,0,Clouds,07-10-2012,18:00:00,4015
No,278.11,0,0,Clouds,07-10-2012,19:00:00,3382
No,276.79,0,0,Clouds,07-10-2012,20:00:00,2815
No,275.73,0,0,Clouds,07-10-2012,21:00:00,2110
No,274.88,0,0,Clouds,07-10-2012,22:00:00,1555
No,273.92,0,0,Clouds,07-10-2012,23:00:00,959
Columbus Day,273.08,0,0,Clouds,08-10-2012,00:00:00,455
No,272.62,0,0,Clouds,08-10-2012,01:00:00,336
No,271.78,0,0,Clear,08-10-2012,02:00:00,265
No,,0,0,Clear,08-10-2012,03:00:00,314
No,270.63,0,0,Clear,08-10-2012,04:00:00,779
No,270.33,0,0,Clear,08-10-2012,05:00:00,2571
No,269.61,0,0,Clouds,08-10-2012,06:00:00,5563
No,270.01,0,0,Clouds,08-10-2012,07:00:00,6676
No,271.23,0,0,Clouds,08-10-2012,08:00:00,5966
No,273.71,0,0,Clouds,08-10-2012,09:00:00,4832
No,276.77,0,0,Clouds,08-10-2012,10:00:00,4395
No,279.47,0,0,Clouds,08-10-2012,11:00:00,4411
No,279.84,0,0,Clear,08-10-2012,12:00:00,4648
No,282.34,0,0,Clouds,08-10-2012,13:00:00,4602
No,282.94,0,0,Clouds,08-10-2012,14:00:00,5125
No,283.48,0,0,Clear,08-10-2012,15:00:00,5502
No,284.33,0,0,Clear,08-10-2012,16:00:00,5979
No,284.48,0,0,Clouds,08-10-2012,17:00:00,5663
No,284.23,0,0,Clouds,08-10-2012,18:00:00,4259
No,281.99,0,0,Clouds,08-10-2012,19:00:00,3069
No,279.81,0,0,Clear,08-10-2012,20:00:00,2378
No,279.35,0,0,Clear,08-10-2012,21:00:00,2030
No,278.9,0,0,Clear,08-10-2012,22:00:00,1400
No,278.46,0,0,Clear,08-10-2012,23:00:00,917
No,,0,0,Clear,09-10-2012,00:00:00,515
No,277.27,0,0,Clear,09-10-2012,01:00:00,302
No,277.47,0,0,Clear,09-10-2012,02:00:00,251
No,276.97,0,0,Clouds,09-10-2012,04:00:00,798
No,276.52,0,0,Clouds,09-10-2012,05:00:00,2678
No,276.6,0,0,Clouds,09-10-2012,06:00:00,5733
No,277.31,0,0,Clouds,09-10-2012,07:00:00,6449
No,278.38,0,0,Clouds,09-10-2012,08:00:00,5765
No,279.35,0,0,Clouds,09-10-2012,09:00:00,5599
No,281.37,0,0,Clouds,09-10-2012,10:00:00,4534
No,283.11,0,0,Clouds,09-10-2012,11:00:00,4691
No,284.08,0,0,Clouds,09-10-2012,12:00:00,5067
No,285.14,0,0,Clouds,09-10-2012,13:00:00,5030
No,286.35,0,0,Clouds,09-10-2012,14:00:00,5300
No,287.23,0,0,Rain,09-10-2012,15:00:00,5777
No,,0,0,Clouds,09-10-2012,16:00:00,6349
No,290.37,0,0,Clouds,09-10-2012,17:00:00,6127
No,290.13,0,0,Clouds,09-10-2012,18:00:00,4460
No,288.86,0,0,Clouds,09-10-2012,19:00:00,3418
No,287.36,0,0,Clouds,09-10-2012,20:00:00,2775
No,285.11,0,0,Clouds,09-10-2012,21:00:00,2306
No,283.46,0,0,Clouds,09-10-2012,22:00:00,1846
No,282.45,0,0,Clouds,09-10-2012,23:00:00,947
No,281.88,0,0,Clouds,10-10-2012,00:00:00,494
No,281.78,0,0,Clouds,10-10-2012,01:00:00,332
No,281.09,0,0,Clouds,10-10-2012,02:00:00,261
No,281.17,0,0,Clouds,10-10-2012,03:00:00,361
No,281.25,0,0,Clear,10-10-2012,06:00:00,5875
No,281.25,0,0,Rain,10-10-2012,07:00:00,6793
No,281.25,0,0,Drizzle,10-10-2012,07:00:00,6793
No,280.1,0,0,Rain,10-10-2012,08:00:00,6283
No,280.1,0,0,Drizzle,10-10-2012,08:00:00,6283
No,279.61,0,0,Rain,10-10-2012,09:00:00,5680
No,,0,0,Drizzle,10-10-2012,09:00:00,5680
No,,0,0,Clear,10-10-2012,10:00:00,4632
No,280.19,0,0,Clear,10-10-2012,11:00:00,4887
No,282.09,0,0,Clouds,10-10-2012,12:00:00,5030
No,282.26,0,0,Clouds,10-10-2012,13:00:00,5067
No,282.05,0,0,Clouds,10-10-2012,14:00:00,5227
No,281.59,0,0,Clouds,10-10-2012,15:00:00,5610
No,281.23,0,0,Clear,10-10-2012,16:00:00,6286
No,282.6,0,0,Clear,10-10-2012,18:00:00,4775
No,282.6,0,0,Clear,10-10-2012,19:00:00,3340
No,282.6,0,0,Clear,10-10-2012,20:00:00,3013
No,282.6,0,0,Clear,10-10-2012,21:00:00,2603
No,282.6,0,0,Clear,10-10-2012,22:00:00,1910
No,282.6,0,0,Clear,10-10-2012,23:00:00,1037
No,273.9,0,0,Clear,11-10-2012,01:00:00,347
No,274.4,0,0,Clouds,11-10-2012,03:00:00,350
No,274.05,0,0,Clouds,11-10-2012,04:00:00,850
No,273.71,0,0,Clouds,11-10-2012,05:00:00,2791
No,272.66,0,0,Clear,11-10-2012,06:00:00,5809
No,272.65,0,0,Clear,11-10-2012,07:00:00,6798
No,272.52,0,0,Clear,11-10-2012,08:00:00,6304
No,275.19,0,0,Clouds,11-10-2012,09:00:00,5291
No,275.34,0,0,Clear,11-10-2012,10:00:00,4638
No,284.1,0,0,Clear,11-10-2012,14:00:00,5557
No,284.1,0,0,Clear,11-10-2012,15:00:00,5818
No,283.78,0,0,Clouds,11-10-2012,16:00:00,6272
No,283.52,0,0,Clouds,11-10-2012,17:00:00,5944
No,,0,0,Clouds,11-10-2012,18:00:00,4949
No,282.06,0,0,Clouds,11-10-2012,19:00:00,3511
No,281.95,0,0,Clouds,11-10-2012,20:00:00,3039
No,281.81,0,0,Clouds,11-10-2012,21:00:00,2679
No,282.16,0,0,Clouds,11-10-2012,22:00:00,2094
No,282.53,0,0,Clouds,11-10-2012,23:00:00,1284
No,283.91,0,0,Clouds,12-10-2012,00:00:00,630
No,284.64,0,0,Clouds,12-10-2012,01:00:00,410
No,284.61,0,0,Clouds,12-10-2012,02:00:00,331
No,283.18,0,0,Drizzle,12-10-2012,03:00:00,372
No,282.26,0,0,Rain,12-10-2012,04:00:00,739
No,280.77,0,0,Drizzle,12-10-2012,05:00:00,2561
No,278.53,0,0,Clouds,12-10-2012,06:00:00,5586
No,277.64,0,0,Clouds,12-10-2012,07:00:00,6992
No,277.9,0,0,Clouds,12-10-2012,08:00:00,5860
No,,0,0,Clouds,12-10-2012,09:00:00,5230
No,279.29,0,0,Clouds,12-10-2012,10:00:00,4864
No,280.45,0,0,Clouds,12-10-2012,11:00:00,5146
No,280.95,0,0,Clouds,12-10-2012,12:00:00,5526
No,281.74,0,0,Clouds,12-10-2012,13:00:00,5383
No,281.84,0,0,Clouds,12-10-2012,14:00:00,5758
No,282.45,0,0,Clouds,12-10-2012,15:00:00,5889
No,282.2,0,0,Clouds,12-10-2012,16:00:00,6057
No,281.54,0,0,Clouds,12-10-2012,17:00:00,6028
No,280.21,0,0,Clouds,12-10-2012,18:00:00,5257
No,282.2,0,0,Clear,12-10-2012,23:00:00,1897
No,272.58,0,0,Clear,13-10-2012,00:00:00,1335
No,272.06,0,0,Clear,13-10-2012,01:00:00,769
No,270.99,0,0,Clear,13-10-2012,02:00:00,570
No,270.29,0,0,Clouds,13-10-2012,03:00:00,413
No,269.48,0,0,Clear,13-10-2012,04:00:00,399
No,269.27,0,0,Clear,13-10-2012,05:00:00,740
No,268.91,0,0,Clear,13-10-2012,06:00:00,1420
No,,0,0,Clouds,13-10-2012,07:00:00,2220
No,269.23,0,0,Clouds,13-10-2012,08:00:00,3479
No,272.61,0,0,Clouds,13-10-2012,09:00:00,4546
No,276.78,0,0,Clouds,13-10-2012,10:00:00,4579
No,279.22,0,0,Clear,13-10-2012,11:00:00,4438
No,280.35,0,0,Clear,13-10-2012,12:00:00,4623
No,281.81,0,0,Clear,13-10-2012,13:00:00,4440
No,283.05,0,0,Clear,13-10-2012,14:00:00,4495
No,283.96,0,0,Clear,13-10-2012,15:00:00,4483
No,284.53,0,0,Clear,13-10-2012,16:00:00,4591
No,284.44,0,0,Clear,13-10-2012,17:00:00,4477
No,283.64,0,0,Clear,13-10-2012,18:00:00,4221
No,281.85,0,0,Clouds,13-10-2012,19:00:00,3672
No,281.38,0,0,Clear,13-10-2012,20:00:00,3015
No,281.84,0,0,Clouds,13-10-2012,21:00:00,2769
No,282.23,0,0,Clouds,13-10-2012,22:00:00,2875
No,282.18,0,0,Clouds,13-10-2012,23:00:00,1931
No,282.49,0,0,Clouds,14-10-2012,00:00:00,1309
No,282.54,0,0,Clouds,14-10-2012,01:00:00,870
No,282.58,0,0,Clouds,14-10-2012,02:00:00,654
No,282.23,0,0,Clouds,14-10-2012,03:00:00,364
No,,0,0,Clouds,14-10-2012,04:00:00,262
No,282.23,0,0,Clouds,14-10-2012,05:00:00,505
No,282.24,0,0,Clouds,14-10-2012,06:00:00,861
No,282.24,0,0,Clouds,14-10-2012,07:00:00,1132
No,282.24,0,0,Mist,14-10-2012,08:00:00,1797
No,282.43,0,0,Drizzle,14-10-2012,09:00:00,2685
No,282.43,0,0,Mist,14-10-2012,09:00:00,2685
No,282.43,0,0,Haze,14-10-2012,09:00:00,2685
No,282.33,0,0,Drizzle,14-10-2012,10:00:00,3370
No,282.33,0,0,Mist,14-10-2012,10:00:00,3370
No,282.82,0,0,Drizzle,14-10-2012,11:00:00,3662
No,282.82,0,0,Mist,14-10-2012,11:00:00,3662
No,283.33,0,0,Mist,14-10-2012,12:00:00,4076
No,283.33,0,0,Rain,14-10-2012,12:00:00,4076
No,283.33,0,0,Drizzle,14-10-2012,12:00:00,4076
No,283.75,0,0,Rain,14-10-2012,13:00:00,4128
No,283.75,0,0,Mist,14-10-2012,13:00:00,4128
No,283.75,0,0,Drizzle,14-10-2012,13:00:00,4128
No,284.09,0,0,Mist,14-10-2012,14:00:00,4358
No,284.09,0,0,Rain,14-10-2012,14:00:00,4358
No,284.09,0,0,Drizzle,14-10-2012,14:00:00,4358
No,284.55,0,0,Mist,14-10-2012,15:00:00,4342
No,284.55,0,0,Rain,14-10-2012,15:00:00,4342
No,284.68,0,0,Mist,14-10-2012,16:00:00,4234
No,284.64,0,0,Rain,14-10-2012,17:00:00,4271
No,284.64,0,0,Mist,14-10-2012,17:00:00,4271
No,284.4,0,0,,14-10-2012,18:00:00,4080
No,,0,0,Mist,14-10-2012,19:00:00,3453
No,284.03,0,0,Mist,14-10-2012,20:00:00,2718
No,283.58,0,0,Mist,14-10-2012,21:00:00,2439
No,283.04,0,0,Mist,14-10-2012,22:00:00,1819
No,281.95,0,0,Mist,14-10-2012,23:00:00,1002
No,281.95,0,0,Fog,14-10-2012,23:00:00,1002
No,281.61,0,0,,15-10-2012,00:00:00,542
No,281.61,0,0,Fog,15-10-2012,00:00:00,542
No,281.57,0,0,Fog,15-10-2012,01:00:00,303
No,281.42,0,0,Fog,15-10-2012,02:00:00,239
No,281.29,0,0,Mist,15-10-2012,03:00:00,335
No,281.29,0,0,Fog,15-10-2012,03:00:00,335
No,281.02,0,0,Mist,15-10-2012,04:00:00,810
No,281.02,0,0,Fog,15-10-2012,04:00:00,810
No,280.82,0,0,Mist,15-10-2012,05:00:00,2606
No,,0,0,Fog,15-10-2012,05:00:00,2606
No,280.39,0,0,Mist,15-10-2012,06:00:00,5714
No,280.19,0,0,Mist,15-10-2012,07:00:00,6798
No,279.82,0,0,Mist,15-10-2012,08:00:00,6114
No,279.75,0,0,Mist,15-10-2012,09:00:00,5094
No,280.07,0,0,Mist,15-10-2012,10:00:00,4473
No,280.32,0,0,Clouds,15-10-2012,11:00:00,4529
No,281.72,0,0,Clear,15-10-2012,12:00:00,4823
No,284.01,0,0,Clouds,15-10-2012,13:00:00,4872
No,285.88,0,0,Clear,15-10-2012,14:00:00,5238
No,286.87,0,0,Clear,15-10-2012,15:00:00,5584
No,287.6,0,0,Clouds,15-10-2012,16:00:00,6246
No,287.27,0,0,Clouds,15-10-2012,17:00:00,5957
No,286.18,0,0,Clouds,15-10-2012,18:00:00,4535
No,285.2,0,0,,15-10-2012,19:00:00,3234
